pmid,study_id,gt_record_idx,model,slot_id,domain,gt_domain_str,gt,pred,match
14647140,Clayton 2007,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
14647140,Clayton 2007,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Low risk,Unclear risk,0
14647140,Clayton 2007,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),Unclear risk,High risk,0
14647140,Clayton 2007,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),Low risk,Unclear risk,0
14647140,Clayton 2007,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Low risk,Low risk,1
15249261,Ross 2004,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
15249261,Ross 2004,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Unclear risk,Unclear risk,1
15249261,Ross 2004,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),High risk,High risk,1
15249261,Ross 2004,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),High risk,High risk,1
15249261,Ross 2004,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),High risk,Low risk,0
17389922,Cobo 2007,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation,Low risk,Low risk,1
17389922,Cobo 2007,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment,Unclear risk,Low risk,0
17389922,Cobo 2007,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel: All outcomes,Unclear risk,High risk,0
17389922,Cobo 2007,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessors: All outcomes,Unclear risk,Low risk,0
17389922,Cobo 2007,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data: All outcomes,Low risk,Low risk,1
18398460,Menéndez 2008,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
18398460,Menéndez 2008,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Unclear risk,Low risk,0
18398460,Menéndez 2008,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias): All outcomes,Low risk,Low risk,1
18398460,Menéndez 2008,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias): All outcomes,Low risk,Low risk,1
18398460,Menéndez 2008,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): All outcomes,Unclear risk,Low risk,0
18779465,Grant 2008,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Unclear risk,Low risk,0
18779465,Grant 2008,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Unclear risk,Unclear risk,1
18779465,Grant 2008,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),Unclear risk,High risk,0
18779465,Grant 2008,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),Low risk,Low risk,1
18779465,Grant 2008,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Low risk,Low risk,1
19017773,Ralston 2009,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
19017773,Ralston 2009,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Low risk,Low risk,1
19017773,Ralston 2009,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),High risk,High risk,1
19017773,Ralston 2009,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),High risk,Low risk,0
19017773,Ralston 2009,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Low risk,Low risk,1
19209172,Vodermaier 2009,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Unclear risk,Low risk,0
19209172,Vodermaier 2009,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Low risk,Unclear risk,0
19209172,Vodermaier 2009,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),Unclear risk,High risk,0
19209172,Vodermaier 2009,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),Low risk,Unclear risk,0
19209172,Vodermaier 2009,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Unclear risk,Low risk,0
19291323,Middleton 2011,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
19291323,Middleton 2011,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Low risk,Low risk,1
19291323,Middleton 2011,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias): All outcomes,High risk,High risk,1
19291323,Middleton 2011,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias): All outcomes,Low risk,Low risk,1
19291323,Middleton 2011,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): All outcomes,Low risk,Low risk,1
19319218,Chien 2008a,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
19319218,Chien 2008a,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Low risk,Low risk,1
19319218,Chien 2008a,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias): All outcomes,High risk,High risk,1
19319218,Chien 2008a,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding (performance bias and detection bias): All outcomes,Not applicable,Low risk,0
19319218,Chien 2008a,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): All outcomes,Low risk,Low risk,1
19487623,King 2009,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Unclear risk,Low risk,0
19487623,King 2009,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Unclear risk,Unclear risk,1
19487623,King 2009,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias): All outcomes,Low risk,Low risk,1
